@relation openjpa_training_4

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
48.0,48.0,48.0,24.0,48.0,48.0,48.0,24.0,1,2,0,False
48.0,48.0,48.0,24.0,48.0,48.0,48.0,24.0,1,2,0,False
198.0,228.0,198.0,45.6,255.0,201.0,198.0,40.2,2,5,0,False
165.0,191.0,165.0,31.833334,222.0,174.0,165.0,29.0,2,6,0,False
156.0,169.0,156.0,42.25,187.0,161.0,156.0,40.25,2,4,0,False
192.0,215.0,192.0,53.75,234.0,196.0,192.0,49.0,2,4,0,False
957.0,957.0,957.0,478.5,957.0,957.0,957.0,478.5,1,2,0,False
341.0,341.0,341.0,170.5,341.0,341.0,341.0,170.5,1,2,0,False
112.0,112.0,112.0,56.0,112.0,112.0,112.0,56.0,1,2,0,False
125.0,125.0,125.0,62.5,125.0,125.0,125.0,62.5,1,2,0,False
411.0,443.0,411.0,147.66667,447.0,439.0,411.0,146.33333,2,3,0,False
173.0,173.0,173.0,86.5,173.0,173.0,173.0,86.5,1,2,0,False
69.0,71.0,69.0,23.666666,73.0,69.0,69.0,23.0,2,3,0,False
82.0,84.0,82.0,28.0,86.0,82.0,82.0,27.333334,2,3,0,False
1010.0,1028.0,1010.0,342.66666,1049.0,1013.0,1010.0,337.66666,2,3,0,True
329.0,329.0,329.0,164.5,329.0,329.0,329.0,164.5,1,2,0,False
244.0,253.0,244.0,84.333336,263.0,245.0,244.0,81.666664,2,3,0,False
84.0,84.0,84.0,42.0,84.0,84.0,84.0,42.0,1,2,0,False
43.0,43.0,43.0,21.5,43.0,43.0,43.0,21.5,1,2,0,False
69.0,69.0,69.0,34.5,69.0,69.0,69.0,34.5,1,2,0,False
64.0,64.0,64.0,32.0,64.0,64.0,64.0,32.0,1,2,0,False
161.0,167.0,161.0,55.666668,173.0,161.0,161.0,53.666668,2,3,0,False
86.0,86.0,86.0,43.0,86.0,86.0,86.0,43.0,1,2,0,False
304.0,304.0,304.0,152.0,304.0,304.0,304.0,152.0,1,2,0,False
703.0,703.0,703.0,351.5,703.0,703.0,703.0,351.5,1,2,0,False
1749.0,1758.0,1749.0,439.5,1766.0,1752.0,1749.0,438.0,1,4,0,False
1179.0,1251.0,1179.0,250.2,1279.0,1225.0,1179.0,245.0,2,5,0,False
68.0,68.0,68.0,34.0,68.0,68.0,68.0,34.0,1,2,0,False
1122.0,1224.0,1122.0,174.85715,1308.0,1156.0,1122.0,165.14285,3,7,0,False
139.0,139.0,139.0,69.5,139.0,139.0,139.0,69.5,1,2,0,False
163.0,163.0,163.0,81.5,163.0,163.0,163.0,81.5,1,2,0,False
60.0,60.0,60.0,30.0,60.0,60.0,60.0,30.0,1,2,0,False
231.0,231.0,231.0,115.5,231.0,231.0,231.0,115.5,1,2,0,False
606.0,606.0,606.0,202.0,608.0,608.0,606.0,202.66667,1,3,0,True
135.0,135.0,135.0,67.5,135.0,135.0,135.0,67.5,1,2,0,False
34.0,34.0,34.0,17.0,34.0,34.0,34.0,17.0,1,2,0,False
160.0,160.0,160.0,80.0,160.0,160.0,160.0,80.0,1,2,0,False
2053.0,2056.0,2053.0,685.3333,2059.0,2053.0,2053.0,684.3333,2,3,0,False
