Version,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,151,137,37.75,164,138,137,34.5,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,182,177,60.666668,186,178,177,59.333332,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,47,46,23.5,48,46,46,23.0,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,138,128,27.6,147,129,128,25.8,3,5,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,153,149,51.0,156,150,149,50.0,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,59,58,29.5,60,58,58,29.0,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,152,149,76.0,155,149,149,74.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,78,74,39.0,82,74,74,37.0,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,37,37.0,37,37,37,37.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,40,38,20.0,42,38,38,19.0,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,40,39,20.0,41,39,39,19.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,108,96,27.0,119,97,96,24.25,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,92,88,30.666666,95,89,88,29.666666,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,79,71,19.75,86,72,71,18.0,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,124,114,31.0,133,115,114,28.75,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336,421,336,70.166664,499,343,336,57.166668,3,6,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,94,84,23.5,103,85,84,21.25,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,63,58,21.0,68,58,58,19.333334,2,3,0,False
