TrainingRelease,ClassifierName,FilterName,SamplerName,SensitiveLearning,Precision,Recall,ROC_AUC,Kappa,TruePositive,FalsePositive,TrueNegative,FalseNegative
2,NaiveBayes,false,Over,false,0.14285714285714285,1.0,0.7716339782666314,0.012903225806451625,49.0,294.0,14.0,0.0
2,IBk,false,Over,false,0.2376237623762376,0.4897959183673469,0.6881791677710045,0.165811417575369,24.0,77.0,231.0,25.0
2,RandomForest,false,Under,false,0.23972602739726026,0.7142857142857143,0.6737012987012987,0.19314010884698135,35.0,111.0,197.0,14.0
2,NaiveBayes,false,Under,false,0.1416184971098266,1.0,0.8085409488470713,0.010064701653486715,49.0,297.0,11.0,0.0
2,IBk,false,Under,false,0.21428571428571427,0.6122448979591837,0.623641664457991,0.14324781872639658,30.0,110.0,198.0,19.0
2,RandomForest,false,SMOTE,false,0.1896551724137931,0.22448979591836735,0.6847667638483965,0.06673842841765337,11.0,47.0,261.0,38.0
2,NaiveBayes,false,SMOTE,false,0.1411764705882353,0.9795918367346939,0.7142525841505434,0.009019165727170238,48.0,292.0,16.0,1.0
2,IBk,false,SMOTE,false,0.2318840579710145,0.32653061224489793,0.667307182613305,0.1318289786223276,16.0,53.0,255.0,33.0
2,RandomForest,true,Over,false,0.21875,0.42857142857142855,0.7211105221309303,0.13187902825979197,21.0,75.0,233.0,28.0
2,NaiveBayes,true,Over,false,0.26605504587155965,0.5918367346938775,0.7836602173336867,0.21922841396203308,29.0,80.0,228.0,20.0
2,IBk,true,Over,false,0.18478260869565216,0.3469387755102041,0.6541213888152664,0.07555480264272395,17.0,75.0,233.0,32.0
2,RandomForest,true,Under,false,0.22602739726027396,0.673469387755102,0.6732706069440764,0.1673205923300846,33.0,113.0,195.0,16.0
2,NaiveBayes,true,Under,false,0.5,0.22448979591836735,0.808110257089849,0.24569876245095124,11.0,11.0,297.0,38.0
2,IBk,true,Under,false,0.2,0.7142857142857143,0.6460045056983833,0.12480499219968803,35.0,140.0,168.0,14.0
2,RandomForest,true,SMOTE,false,0.29577464788732394,0.42857142857142855,0.7159090909090909,0.22395630120952006,21.0,50.0,258.0,28.0
2,NaiveBayes,true,SMOTE,false,0.2616822429906542,0.5714285714285714,0.7542075271667108,0.2102818209972127,28.0,79.0,229.0,21.0
2,IBk,true,SMOTE,false,0.2,0.24489795918367346,0.6481579644844951,0.08137317228226285,12.0,48.0,260.0,37.0
2,RandomForest,false,NotSet,true,0.22033898305084745,0.5306122448979592,0.6655844155844156,0.14566642388929368,26.0,92.0,216.0,23.0
2,NaiveBayes,false,NotSet,true,0.2980769230769231,0.6326530612244898,0.7860124569308243,0.2687884039703798,31.0,73.0,235.0,18.0
2,IBk,false,NotSet,true,0.19230769230769232,0.30612244897959184,0.6710177577524516,0.08133704735376034,15.0,63.0,245.0,34.0
2,RandomForest,true,NotSet,true,0.24107142857142858,0.5510204081632653,0.7049098860323351,0.17853379497215097,27.0,85.0,223.0,22.0
2,NaiveBayes,true,NotSet,true,0.1384180790960452,1.0,0.7853167240922343,0.002692825543373724,49.0,305.0,3.0,0.0
2,IBk,true,NotSet,true,0.12307692307692308,0.16326530612244897,0.636628677445004,-0.01916802610114183,8.0,57.0,251.0,41.0
3,RandomForest,false,NotSet,false,0.3333333333333333,0.2857142857142857,0.6997911445279866,0.24280294577103273,10.0,20.0,322.0,25.0
3,NaiveBayes,false,NotSet,false,0.4666666666666667,0.2,0.8660401002506266,0.2375280898876411,7.0,8.0,334.0,28.0
3,IBk,false,NotSet,false,0.2777777777777778,0.2857142857142857,0.7080200501253133,0.20703592196972795,10.0,26.0,316.0,25.0
3,RandomForest,true,NotSet,false,0.3125,0.2857142857142857,0.7064327485380117,0.23024458056388175,10.0,22.0,320.0,25.0
3,NaiveBayes,true,NotSet,false,0.4666666666666667,0.2,0.8623224728487886,0.2375280898876411,7.0,8.0,334.0,28.0
3,IBk,true,NotSet,false,0.2857142857142857,0.2857142857142857,0.7093149540517961,0.2126148705096078,10.0,25.0,317.0,25.0
3,RandomForest,false,Over,false,0.25,0.5142857142857142,0.6787802840434419,0.24170656392532378,18.0,54.0,288.0,17.0
3,NaiveBayes,false,Over,false,0.09536784741144415,1.0,0.8675020885547201,0.005561558507595493,35.0,332.0,10.0,0.0
3,IBk,false,Over,false,0.16216216216216217,0.34285714285714286,0.6825396825396826,0.10770473087739837,12.0,62.0,280.0,23.0
3,RandomForest,false,Under,false,0.19791666666666666,0.5428571428571428,0.7045948203842941,0.17826423231068486,19.0,77.0,265.0,16.0
3,NaiveBayes,false,Under,false,0.09408602150537634,1.0,0.8578111946532999,0.0027472743114153216,35.0,337.0,5.0,0.0
3,IBk,false,Under,false,0.17094017094017094,0.5714285714285714,0.7053049289891395,0.1402858655373211,20.0,97.0,245.0,15.0
3,RandomForest,false,SMOTE,false,0.30952380952380953,0.37142857142857144,0.6890559732664996,0.2630227298861591,13.0,29.0,313.0,22.0
3,NaiveBayes,false,SMOTE,false,0.4827586206896552,0.4,0.8641186299081036,0.38582677165354384,14.0,15.0,327.0,21.0
3,IBk,false,SMOTE,false,0.27906976744186046,0.34285714285714286,0.7215956558061821,0.22874677981512312,12.0,31.0,311.0,23.0
3,RandomForest,true,Over,false,0.23255813953488372,0.5714285714285714,0.685171261487051,0.22880521251609973,20.0,66.0,276.0,15.0
3,NaiveBayes,true,Over,false,0.36363636363636365,0.22857142857142856,0.8535505430242273,0.22517419419519824,8.0,14.0,328.0,27.0
3,IBk,true,Over,false,0.1643835616438356,0.34285714285714286,0.6818713450292397,0.11059933719036108,12.0,61.0,281.0,23.0
3,RandomForest,true,Under,false,0.17699115044247787,0.5714285714285714,0.7000417710944027,0.1497306101992233,20.0,93.0,249.0,15.0
3,NaiveBayes,true,Under,false,0.3333333333333333,0.2,0.8343776106934002,0.19387027797576628,7.0,14.0,328.0,28.0
3,IBk,true,Under,false,0.11570247933884298,0.4,0.5804093567251462,0.04143657383496881,14.0,107.0,235.0,21.0
3,RandomForest,true,SMOTE,false,0.3023255813953488,0.37142857142857144,0.6843776106934002,0.2573117138960444,13.0,30.0,312.0,22.0
3,NaiveBayes,true,SMOTE,false,0.42857142857142855,0.34285714285714286,0.8591060985797828,0.325271901243633,12.0,16.0,326.0,23.0
3,IBk,true,SMOTE,false,0.275,0.3142857142857143,0.7140350877192982,0.2156624141315016,11.0,29.0,313.0,24.0
3,RandomForest,false,NotSet,true,0.18095238095238095,0.5428571428571428,0.6880534670008355,0.15355491965661452,19.0,86.0,256.0,16.0
3,NaiveBayes,false,NotSet,true,0.4666666666666667,0.4,0.8660401002506266,0.3774157554117383,14.0,16.0,326.0,21.0
3,IBk,false,NotSet,true,0.14492753623188406,0.2857142857142857,0.7080200501253133,0.07882948397230752,10.0,59.0,283.0,25.0
3,RandomForest,true,NotSet,true,0.19047619047619047,0.5714285714285714,0.6785714285714286,0.1701518820162887,20.0,85.0,257.0,15.0
3,NaiveBayes,true,NotSet,true,0.4838709677419355,0.42857142857142855,0.8623224728487886,0.40243043325114497,15.0,16.0,326.0,20.0
3,IBk,true,NotSet,true,0.14705882352941177,0.2857142857142857,0.7093149540517961,0.08159431774823184,10.0,58.0,284.0,25.0
4,RandomForest,false,NotSet,false,0.5789473684210527,0.2037037037037037,0.760945118788256,0.2500804980143824,11.0,8.0,349.0,43.0
4,NaiveBayes,false,NotSet,false,0.5833333333333334,0.12962962962962962,0.8426185288930387,0.17259001161440213,7.0,5.0,352.0,47.0
4,IBk,false,NotSet,false,0.5769230769230769,0.2777777777777778,0.7288100425355327,0.3166400638467682,15.0,11.0,346.0,39.0
4,RandomForest,true,NotSet,false,0.7222222222222222,0.24074074074074073,0.7545647888785144,0.3161892361111113,13.0,5.0,352.0,41.0
4,NaiveBayes,true,NotSet,false,0.6363636363636364,0.12962962962962962,0.844693432928727,0.17886943236573094,7.0,4.0,353.0,47.0
4,IBk,true,NotSet,false,0.6,0.2777777777777778,0.7294584500466853,0.323490879774262,15.0,10.0,347.0,39.0
4,RandomForest,false,Over,false,0.39655172413793105,0.42592592592592593,0.7282913165266106,0.3178937839468917,23.0,35.0,322.0,31.0
4,NaiveBayes,false,Over,false,0.6363636363636364,0.12962962962962962,0.8355638551716983,0.17886943236573094,7.0,4.0,353.0,47.0
4,IBk,false,Over,false,0.3389830508474576,0.37037037037037035,0.7099802884116609,0.2512540241072097,20.0,39.0,318.0,34.0
4,RandomForest,false,Under,false,0.3113207547169811,0.6111111111111112,0.7148044402946364,0.2886654882898806,33.0,73.0,284.0,21.0
4,NaiveBayes,false,Under,false,0.6071428571428571,0.3148148148148148,0.835719472974375,0.3569333072560141,17.0,11.0,346.0,37.0
4,IBk,false,Under,false,0.2457627118644068,0.5370370370370371,0.6757443718228032,0.1914475046593497,29.0,89.0,268.0,25.0
4,RandomForest,false,SMOTE,false,0.4411764705882353,0.2777777777777778,0.7369281045751634,0.2664327917282123,15.0,19.0,338.0,39.0
4,NaiveBayes,false,SMOTE,false,0.6470588235294118,0.4074074074074074,0.8076304595912439,0.44350073855243727,22.0,12.0,345.0,32.0
4,IBk,false,SMOTE,false,0.5,0.3333333333333333,0.7376024483867621,0.3295269168026103,18.0,18.0,339.0,36.0
4,RandomForest,true,Over,false,0.3877551020408163,0.35185185185185186,0.724893661168171,0.27877217137766236,19.0,30.0,327.0,35.0
4,NaiveBayes,true,Over,false,0.6666666666666666,0.2222222222222222,0.8398952173461978,0.2864583333333336,12.0,6.0,351.0,42.0
4,IBk,true,Over,false,0.34,0.3148148148148148,0.6640471003216101,0.22959511568123397,17.0,33.0,324.0,37.0
4,RandomForest,true,Under,false,0.32,0.5925925925925926,0.7252567693744164,0.29534803977597457,32.0,68.0,289.0,22.0
4,NaiveBayes,true,Under,false,0.5909090909090909,0.24074074074074073,0.8258118062039631,0.2879417879417883,13.0,9.0,348.0,41.0
4,IBk,true,Under,false,0.2719298245614035,0.5740740740740741,0.6839143064633261,0.23212774957698798,31.0,83.0,274.0,23.0
4,RandomForest,true,SMOTE,false,0.5161290322580645,0.2962962962962963,0.711484593837535,0.31038085288251527,16.0,15.0,342.0,38.0
4,NaiveBayes,true,SMOTE,false,0.6,0.3333333333333333,0.8452380952380952,0.3693901035673188,18.0,12.0,345.0,36.0
4,IBk,true,SMOTE,false,0.53125,0.3148148148148148,0.7386917730054985,0.32982126058325506,17.0,15.0,342.0,37.0
4,RandomForest,false,NotSet,true,0.2717391304347826,0.46296296296296297,0.7174758792405851,0.21198322348711782,25.0,67.0,290.0,29.0
4,NaiveBayes,false,NotSet,true,0.5925925925925926,0.2962962962962963,0.8426185288930387,0.3369876543209879,16.0,11.0,346.0,38.0
4,IBk,false,NotSet,true,0.22058823529411764,0.2777777777777778,0.7288100425355327,0.11650077106406859,15.0,53.0,304.0,39.0
4,RandomForest,true,NotSet,true,0.2717391304347826,0.46296296296296297,0.716697790227202,0.21198322348711782,25.0,67.0,290.0,29.0
4,NaiveBayes,true,NotSet,true,0.625,0.37037037037037035,0.844693432928727,0.40714957666980245,20.0,12.0,345.0,34.0
4,IBk,true,NotSet,true,0.22058823529411764,0.2777777777777778,0.7294065774457932,0.11650077106406859,15.0,53.0,304.0,39.0
5,RandomForest,false,NotSet,false,0.4117647058823529,0.22580645161290322,0.7049407921600653,0.25317108384036224,7.0,10.0,385.0,24.0
5,NaiveBayes,false,NotSet,false,0.4,0.12903225806451613,0.7598203348305431,0.16549922830345432,4.0,6.0,389.0,27.0
5,IBk,false,NotSet,false,0.32,0.25806451612903225,0.7473662719477338,0.23607997848112613,8.0,17.0,378.0,23.0
5,RandomForest,true,NotSet,false,0.3,0.1935483870967742,0.7159248672927726,0.1890071268183148,6.0,14.0,381.0,25.0
5,NaiveBayes,true,NotSet,false,0.375,0.1935483870967742,0.7605144957125357,0.21650026274303752,6.0,10.0,385.0,25.0
5,IBk,true,NotSet,false,0.2857142857142857,0.25806451612903225,0.7451204573295223,0.21711257372425008,8.0,20.0,375.0,23.0
5,RandomForest,false,Over,false,0.2,0.3225806451612903,0.7164556962025317,0.1725784881869709,10.0,40.0,355.0,21.0
5,NaiveBayes,false,Over,false,0.5454545454545454,0.1935483870967742,0.7659452837893017,0.2574084834398606,6.0,5.0,390.0,25.0
5,IBk,false,Over,false,0.19607843137254902,0.3225806451612903,0.7374438546345448,0.16864966949952778,10.0,41.0,354.0,21.0
5,RandomForest,false,Under,false,0.17857142857142858,0.6451612903225806,0.7202123315639036,0.18705302553081102,20.0,92.0,303.0,11.0
5,NaiveBayes,false,Under,false,0.46153846153846156,0.1935483870967742,0.7503470804409963,0.24004905786598285,6.0,7.0,388.0,25.0
5,IBk,false,Under,false,0.16363636363636364,0.5806451612903226,0.6992650061249489,0.15993689666829422,18.0,92.0,303.0,13.0
5,RandomForest,false,SMOTE,false,0.36,0.2903225806451613,0.7104940792160065,0.2742759795570704,9.0,16.0,379.0,22.0
5,NaiveBayes,false,SMOTE,false,0.32,0.25806451612903225,0.7530828909759085,0.23607997848112613,8.0,17.0,378.0,23.0
5,IBk,false,SMOTE,false,0.3333333333333333,0.3225806451612903,0.7645161290322581,0.2760507336483465,10.0,20.0,375.0,21.0
5,RandomForest,true,Over,false,0.19642857142857142,0.3548387096774194,0.7236014699877501,0.17564751414111368,11.0,45.0,350.0,20.0
5,NaiveBayes,true,Over,false,0.2962962962962963,0.25806451612903225,0.7631686402613311,0.2232352175045584,8.0,19.0,376.0,23.0
5,IBk,true,Over,false,0.17647058823529413,0.2903225806451613,0.7160065332788893,0.14183191690273858,9.0,42.0,353.0,22.0
