TrainingRelease,ClassifierName,FilterName,SamplerName,SensitiveLearning,Precision,Recall,ROC_AUC,Kappa,TruePositive,FalsePositive,TrueNegative,FalseNegative,Npofb20
2,NaiveBayes,true,NONE,false,0.12,0.45,0.362749003984064,-0.165587734241908,27,198,53,33,0.233333333333333
2,NaiveBayes,true,Oversampling,true,0.120689655172414,0.466666666666667,0.326958831341301,-0.165533888077241,28,204,47,32,0.2
2,NaiveBayes,true,Oversampling,false,0.136,0.283333333333333,0.344189907038513,-0.10405548371929,17,108,143,43,0.2
2,NaiveBayes,true,Smote,true,0.144981412639405,0.65,0.366832669322709,-0.114536186981539,39,230,21,21,0.216666666666667
2,NaiveBayes,true,Smote,false,0.126530612244898,0.516666666666667,0.387018592297477,-0.15457948208693,31,214,37,29,0.25
2,NaiveBayes,true,Undersampling,true,0.428571428571429,0.25,0.585159362549801,0.202406786348392,15,20,231,45,0.23728813559322
2,NaiveBayes,true,Undersampling,false,0.424242424242424,0.233333333333333,0.519820717131474,0.190201498217362,14,19,232,46,0.254237288135593
3,NaiveBayes,false,NONE,true,0.0666666666666667,0.0212765957446808,0.48805765271105,-0.0335842501447594,1,14,296,46,0.0638297872340425
3,NaiveBayes,false,NONE,false,0.0769230769230769,0.0212765957446808,0.788229238160604,-0.0251510050500049,1,12,298,46,0.127659574468085
3,NaiveBayes,false,Oversampling,true,0.123209169054441,0.914893617021277,0.463898421413864,-0.0193799163642393,43,306,4,4,0.0851063829787234
3,NaiveBayes,false,Oversampling,false,0.0909090909090909,0.0212765957446808,0.637268359643102,-0.0162667751118343,1,10,300,46,0.127659574468085
3,NaiveBayes,false,Smote,true,0.222222222222222,0.553191489361702,0.629821551132464,0.159116719242902,26,91,219,21,0.0638297872340425
3,NaiveBayes,false,Smote,false,1,0.0425531914893617,0.796499656829101,0.0716555908696908,2,0,310,45,0.127659574468085
3,NaiveBayes,false,Undersampling,true,0.282051282051282,0.234042553191489,0.571859986273164,0.154904571682201,11,28,282,36,0.0638297872340425
3,NaiveBayes,false,Undersampling,false,0.310344827586207,0.191489361702128,0.726355525051476,0.151602065065968,9,20,290,38,0.0638297872340425
3,NaiveBayes,true,NONE,true,0.0714285714285714,0.0212765957446808,0.489670555936857,-0.0294218268901811,1,13,297,46,0.0425531914893617
3,NaiveBayes,true,NONE,false,0.0769230769230769,0.0212765957446808,0.751063829787234,-0.0251510050500049,1,12,298,46,0.0638297872340425
3,NaiveBayes,true,Oversampling,true,0.176470588235294,0.0638297872340425,0.509334248455731,0.0256000000000003,3,14,296,44,0.148936170212766
3,NaiveBayes,true,Oversampling,false,0.0666666666666667,0.0212765957446808,0.688366506520247,-0.0335842501447594,1,14,296,46,0.0851063829787234
3,NaiveBayes,true,Smote,true,0.0714285714285714,0.0212765957446808,0.489670555936857,-0.0294218268901811,1,13,297,46,0.297872340425532
3,NaiveBayes,true,Smote,false,0.0714285714285714,0.0212765957446808,0.750789293067948,-0.0294218268901811,1,13,297,46,0.212765957446808
3,NaiveBayes,true,Undersampling,true,0.15,0.0638297872340425,0.504495538778312,0.0118880166976729,3,17,293,44,0.170212765957447
3,NaiveBayes,true,Undersampling,false,0.157894736842105,0.0638297872340425,0.73098833218943,0.0163482733284355,3,16,294,44,0.170212765957447
4,NaiveBayes,false,NONE,true,0.571428571428571,0.1,0.545548961424332,0.143131884142433,4,3,334,36,0.2
4,NaiveBayes,false,NONE,false,0.666666666666667,0.1,0.852930267062315,0.150397343138417,4,2,335,36,0.47
4,NaiveBayes,false,Oversampling,true,0.428571428571429,0.15,0.56313056379822,0.176941470007277,6,8,329,34,0.1
4,NaiveBayes,false,Oversampling,false,0.5,0.1,0.785682492581602,0.136113657195234,4,4,333,36,0.25
4,NaiveBayes,false,Smote,true,0.526315789473684,0.25,0.611646884272997,0.290498479949814,10,9,328,30,0.2
4,NaiveBayes,false,Smote,false,0.636363636363636,0.175,0.887203264094956,0.239712214530986,7,4,333,33,0.52
4,NaiveBayes,false,Undersampling,true,0.25,0.1,0.532195845697329,0.0875352964905208,4,12,325,36,0.15
4,NaiveBayes,false,Undersampling,false,0.25,0.075,0.792173590504451,0.0698347993992709,3,9,328,37,0.2
