VersionNumber,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Exp.java,72.0,75.0,72.0,18.75,89.0,83.0,72.0,20.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java,237.0,279.0,237.0,46.5,316.0,242.0,237.0,40.333332,2,6,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValue.java,103.0,103.0,103.0,51.5,103.0,103.0,103.0,51.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValueImpl.java,101.0,106.0,101.0,35.333332,111.0,101.0,101.0,33.666668,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java,80.0,80.0,80.0,40.0,80.0,80.0,80.0,40.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,1,1,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java,181.0,204.0,181.0,51.0,229.0,183.0,181.0,45.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/HasContainsExpressionVisitor.java,30.0,37.0,30.0,18.5,43.0,31.0,30.0,15.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java,175.0,196.0,175.0,39.2,218.0,176.0,175.0,35.2,2,5,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InKeyExpression.java,44.0,44.0,44.0,22.0,44.0,44.0,44.0,22.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InSubQExpression.java,79.0,94.0,79.0,23.5,109.0,79.0,79.0,19.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InValueExpression.java,44.0,44.0,44.0,22.0,44.0,44.0,44.0,22.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IndexOf.java,164.0,196.0,164.0,39.2,226.0,168.0,164.0,33.6,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InstanceofExpression.java,152.0,163.0,152.0,27.166666,175.0,153.0,152.0,25.5,2,6,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsEmptyExpression.java,71.0,83.0,71.0,20.75,96.0,72.0,71.0,18.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java,71.0,82.0,71.0,20.5,94.0,72.0,71.0,18.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener.java,42.0,42.0,42.0,21.0,42.0,42.0,42.0,21.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java,449.0,479.0,449.0,68.42857,510.0,464.0,449.0,66.28571,3,7,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCFilterListener.java,44.0,44.0,44.0,22.0,44.0,44.0,44.0,22.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCPath.java,29.0,29.0,29.0,14.5,29.0,29.0,29.0,14.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCStringContains.java,53.0,54.0,53.0,18.0,56.0,54.0,53.0,18.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCWildcardMatch.java,58.0,59.0,58.0,19.666666,61.0,59.0,58.0,19.666666,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java,87.0,91.0,87.0,30.333334,95.0,87.0,87.0,29.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/MatchesExpression.java,133.0,147.0,133.0,36.75,161.0,133.0,133.0,33.25,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java,165.0,195.0,165.0,39.0,222.0,168.0,165.0,33.6,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Max.java,40.0,41.0,40.0,13.666667,42.0,40.0,40.0,13.333333,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Min.java,40.0,41.0,40.0,13.666667,42.0,40.0,40.0,13.333333,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression.java,85.0,96.0,85.0,24.0,108.0,86.0,85.0,21.5,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotEqualExpression.java,76.0,84.0,76.0,28.0,92.0,76.0,76.0,25.333334,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotExpression.java,72.0,82.0,72.0,20.5,93.0,73.0,72.0,18.25,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java,53.0,56.0,53.0,18.666666,59.0,53.0,53.0,17.666666,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/OrExpression.java,107.0,120.0,107.0,30.0,133.0,107.0,107.0,26.75,2,4,0,False
