@relation bookkeeper_training_1

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
162.0,163.0,162.0,81.5,164.0,162.0,162.0,81.0,2,2,0,False
6367.0,12494.0,6367.0,6247.0,18349.0,6639.0,6367.0,3319.5,2,2,0,False
153.0,155.0,153.0,77.5,157.0,153.0,153.0,76.5,2,2,0,False
43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,1,1,0,False
41.0,42.0,41.0,21.0,43.0,41.0,41.0,20.5,2,2,0,False
105.0,156.0,105.0,52.0,206.0,106.0,105.0,35.333332,2,3,0,False
105.0,150.0,105.0,30.0,193.0,107.0,105.0,21.4,3,5,0,False
92.0,127.0,92.0,31.75,161.0,93.0,92.0,23.25,3,4,0,False
101.0,152.0,101.0,50.666668,202.0,102.0,101.0,34.0,2,3,0,False
45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,1,0,False
289.0,290.0,289.0,145.0,291.0,289.0,289.0,144.5,2,2,0,False
32.0,36.0,32.0,18.0,39.0,33.0,32.0,16.5,2,2,0,False
111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,1,1,0,False
35.0,36.0,35.0,18.0,37.0,35.0,35.0,17.5,2,2,0,False
81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,1,1,0,False
27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1,1,0,False
28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1,1,0,False
29.0,30.0,29.0,15.0,31.0,29.0,29.0,14.5,2,2,0,False
566.0,605.0,566.0,151.25,639.0,571.0,566.0,142.75,3,4,0,False
64.0,80.0,64.0,40.0,96.0,64.0,64.0,32.0,2,2,0,False
29.0,30.0,29.0,15.0,31.0,29.0,29.0,14.5,2,2,0,False
64.0,65.0,64.0,32.5,66.0,64.0,64.0,32.0,2,2,0,False
37.0,40.0,37.0,20.0,43.0,37.0,37.0,18.5,2,2,0,False
68.0,79.0,68.0,39.5,90.0,68.0,68.0,34.0,2,2,0,False
