@relation bookkeeper_training_0

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {True, False}

@data
47,51,47,25.5,55,47,47,23.5,2,2,0,False
183,201,183,50.25,221,185,183,46.25,3,4,0,False
49,49,49,49.0,49,49,49,49.0,1,1,0,False
50,50,50,50.0,50,50,50,50.0,1,1,0,False
98,101,98,50.5,103,99,98,49.5,2,2,0,False
138,138,138,138.0,138,138,138,138.0,1,1,0,False
43,43,43,43.0,43,43,43,43.0,1,1,0,False
42,42,42,42.0,42,42,42,42.0,1,1,0,False
56,56,56,56.0,56,56,56,56.0,1,1,0,False
162,163,162,81.5,164,162,162,81.0,2,2,0,False
6367,12494,6367,6247.0,18349,6639,6367,3319.5,2,2,0,False
153,155,153,77.5,157,153,153,76.5,2,2,0,False
43,43,43,43.0,43,43,43,43.0,1,1,0,False
41,42,41,21.0,43,41,41,20.5,2,2,0,False
105,156,105,52.0,206,106,105,35.333332,2,3,0,False
105,150,105,30.0,193,107,105,21.4,3,5,0,False
92,127,92,31.75,161,93,92,23.25,3,4,0,False
101,152,101,50.666668,202,102,101,34.0,2,3,0,False
45,45,45,45.0,45,45,45,45.0,1,1,0,False
289,290,289,145.0,291,289,289,144.5,2,2,0,False
32,36,32,18.0,39,33,32,16.5,2,2,0,False
111,111,111,111.0,111,111,111,111.0,1,1,0,False
35,36,35,18.0,37,35,35,17.5,2,2,0,False
81,81,81,81.0,81,81,81,81.0,1,1,0,False
27,27,27,27.0,27,27,27,27.0,1,1,0,False
28,28,28,28.0,28,28,28,28.0,1,1,0,False
29,30,29,15.0,31,29,29,14.5,2,2,0,False
566,605,566,151.25,639,571,566,142.75,3,4,0,False
64,80,64,40.0,96,64,64,32.0,2,2,0,False
29,30,29,15.0,31,29,29,14.5,2,2,0,False
64,65,64,32.5,66,64,64,32.0,2,2,0,False
37,40,37,20.0,43,37,37,18.5,2,2,0,False
68,79,68,39.5,90,68,68,34.0,2,2,0,False
154,166,154,55.333332,177,155,154,51.666668,2,3,0,False
72,73,72,36.5,74,72,72,36.0,2,2,0,False
385,421,385,70.166664,436,406,385,67.666664,3,6,0,False
76,78,76,39.0,80,76,76,38.0,2,2,0,False
159,164,159,54.666668,168,160,159,53.333332,2,3,0,False
737,887,737,295.66666,1036,738,737,246.0,2,3,0,False
74,76,74,38.0,78,74,74,37.0,2,2,0,False
94,98,94,32.666668,101,95,94,31.666666,2,3,0,False
22,22,22,22.0,22,22,22,22.0,1,1,0,False
427,440,427,146.66667,452,428,427,142.66667,2,3,0,False
62,62,62,62.0,62,62,62,62.0,1,1,0,False
58,59,58,29.5,60,58,58,29.0,2,2,0,False
91,96,91,48.0,101,91,91,45.5,2,2,0,False
27,28,27,14.0,29,27,27,13.5,2,2,0,False
77,79,77,39.5,81,77,77,38.5,2,2,0,False
704,743,704,247.66667,781,705,704,235.0,2,3,0,False
63,67,63,33.5,71,63,63,31.5,2,2,0,False
37,37,37,37.0,37,37,37,37.0,1,1,0,False
64,65,64,32.5,66,64,64,32.0,2,2,0,False
124,127,124,63.5,130,124,124,62.0,2,2,0,False
160,168,160,42.0,175,161,160,40.25,2,4,0,False
36,41,36,20.5,46,36,36,18.0,2,2,0,False
58,61,58,30.5,63,59,58,29.5,2,2,0,False
62,62,62,62.0,62,62,62,62.0,1,1,0,False
130,143,130,35.75,155,131,130,32.75,2,4,0,False
74,77,74,38.5,79,75,74,37.5,2,2,0,False
83,87,83,29.0,90,84,83,28.0,2,3,0,False
74,74,74,74.0,74,74,74,74.0,1,1,0,False
48,50,48,25.0,52,48,48,24.0,2,2,0,False
60,61,60,30.5,62,60,60,30.0,2,2,0,False
70,76,70,25.333334,82,70,70,23.333334,2,3,0,False
183,205,183,51.25,224,186,183,46.5,2,4,0,False
53,53,53,53.0,53,53,53,53.0,1,1,0,False
452,474,452,118.5,494,454,452,113.5,2,4,0,False
39,39,39,39.0,39,39,39,39.0,1,1,0,False
78,82,78,41.0,86,78,78,39.0,2,2,0,False
64,65,64,32.5,66,64,64,32.0,2,2,0,False
31,32,31,16.0,33,31,31,15.5,2,2,0,False
57,61,57,30.5,65,57,57,28.5,2,2,0,False
104,111,104,55.5,118,104,104,52.0,2,2,0,False
32,32,32,32.0,32,32,32,32.0,1,1,0,False
227,280,227,93.333336,332,228,227,76.0,2,3,0,False
197,218,197,54.5,229,207,197,51.75,3,4,0,False
75,81,75,40.5,87,75,75,37.5,2,2,0,False
28,28,28,28.0,28,28,28,28.0,1,1,0,False
52,54,52,27.0,56,52,52,26.0,2,2,0,False
429,507,429,169.0,584,430,429,143.33333,2,3,0,False
103,133,103,66.5,163,103,103,51.5,2,2,0,False
35,35,35,35.0,35,35,35,35.0,1,1,0,False
98,99,98,49.5,100,98,98,49.0,2,2,0,False
79,95,79,31.666666,110,80,79,26.666666,2,3,0,False
